quantity,productName,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number
23,Element_Xi_13,"Fair","Strong","Very_High","0601679552"
5,Device_Delta_3,"Fair","Normal","Medium","0687008192"
2,Widget_Alpha_0,"Fair","Strong","Very_Low","0822880448"
13,Device_Delta_3,"Fair","Normal","Medium","0602507456"
9,Gadget_Beta_1,"Fair","Strong","High","0924035200"
15,Module_Lambda_10,"Fair","Strong","Medium","0857052992"
4,Machine_Pi_15,"Fair","Strong","Medium","0851387968"
8,Apparatus_Gamma_2,"Fair","Weak","Low","0472687904"
14,Item_Zeta_5,"Fair","Normal","High","0540316736"
5,Engine_Rho_16,"Fair","Weak","Low","0220834880"
8,Component_Kappa_9,"Fair","Strong","Very_Low","0926569664"
14,Widget_Alpha_0,"Fair","Normal","Medium","0684179456"
14,Part_Nu_12,"Fair","Normal","High","0689748672"
13,Tool_Epsilon_4,"Fair","Normal","Medium","0801872256"
18,Device_Delta_3,"Fair","Weak","Medium","0273493888"
2,System_Iota_8,"Fair","Weak","Very_Low","0478188576"
19,Gear_Mu_11,"Fair","Normal","Medium","0605391168"
19,Part_Nu_12,"Fair","Normal","Very_High","0339832192"
1,Device_Delta_3,"Fair","Weak","Medium","0617218304"
15,Device_Delta_3,"Fair","Normal","High","0610671488"
6,Component_Kappa_9,"Fair","Normal","Very_Low","0882819648"
3,Device_Delta_3,"Fair","Strong","Low","0915494336"
14,Component_Kappa_9,"Fair","Normal","Low","0667905664"
14,Machine_Pi_15,"Fair","Strong","Medium","0727400512"
22,Assembly_Omicron_14,"Fair","Weak","Very_High","0237069072"
1,Unit_Eta_6,"Fair","Normal","Low","0736546624"
10,Component_Kappa_9,"Fair","Strong","Low","0839491968"
21,Widget_Alpha_0,"Fair","Strong","Medium","0792103040"
25,Element_Xi_13,"Fair","Normal","Very_High","0525193344"
20,Machine_Pi_15,"Fair","Normal","High","0526737920"
16,System_Iota_8,"Fair","Strong","High","0765063808"
25,Widget_Alpha_0,"Fair","Normal","Very_High","0425170016"
3,Module_Lambda_10,"Fair","Normal","Medium","0765851520"
11,Tool_Epsilon_4,"Poor","Strong","Medium","0913695360"
8,Piece_Theta_7,"Fair","Weak","Low","0514045952"
