quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number
19,Module_Lambda_10,"0190707744","Fair","Strong","High","0659423744"
5,Gadget_Beta_1,"1653545856","Fair","Normal","Medium","0803046784"
15,Unit_Eta_6,"2996940032","Fair","Strong","High","0801738624"
25,Component_Kappa_9,"6892673536","Poor","Strong","Very_High","0642962816"
14,Tool_Epsilon_4,"4921443840","Fair","Strong","Low","0839534848"
19,Component_Kappa_9,"2414854400","Fair","Strong","High","0852944704"
12,Machine_Pi_15,"3977934080","Fair","Weak","High","0410379808"
16,Piece_Theta_7,"0892817408","Fair","Strong","Medium","0867969856"
21,Assembly_Omicron_14,"6153981440","Fair","Strong","Medium","0785329600"
16,Tool_Epsilon_4,"2876152576","Fair","Normal","Medium","0518315680"
16,Widget_Alpha_0,"1296836992","Fair","Normal","Medium","0559430016"
24,Unit_Eta_6,"7659662336","Fair","Normal","Very_High","0234125856"
23,Device_Delta_3,"6765577216","Fair","Normal","Very_High","0546006912"
7,Assembly_Omicron_14,"3228080640","Fair","Normal","Low","0585115328"
24,Item_Zeta_5,"1486197760","Fair","Strong","High","0758885952"
7,Component_Kappa_9,"0117080512","Excellent","Strong","Low","0970977536"
12,Device_Delta_3,"2154440704","Fair","Normal","High","0579606656"
7,Assembly_Omicron_14,"0930664256","Fair","Normal","Low","0765513792"
14,Tool_Epsilon_4,"5593297408","Fair","Normal","High","0484214592"
13,Unit_Eta_6,"2550071296","Fair","Normal","High","0391413184"
17,Element_Xi_13,"2551268864","Fair","Strong","Low","0743033600"
5,Tool_Epsilon_4,"4017043200","Fair","Normal","Medium","0793534784"
20,Assembly_Omicron_14,"5723920896","Fair","Normal","High","0376178592"
5,Device_Delta_3,"3691129088","Fair","Normal","Low","0842467520"
11,Widget_Alpha_0,"6451499520","Fair","Normal","Medium","0881542400"
4,System_Iota_8,"1047986752","Fair","Strong","Very_Low","0971622208"
19,Engine_Rho_16,"0941755776","Fair","Normal","Medium","0411927872"
5,Tool_Epsilon_4,"1126504832","Fair","Normal","Low","0813294784"
12,Unit_Eta_6,"5301796352","Fair","Strong","Medium","0863006912"
5,Module_Lambda_10,"2740449280","Fair","Normal","Medium","0674173376"
10,Element_Xi_13,"2760105472","Fair","Strong","Medium","0613485440"
10,Assembly_Omicron_14,"1654394624","Fair","Strong","Medium","0896701440"
16,Piece_Theta_7,"6742167552","Fair","Normal","Very_High","0622111680"
20,System_Iota_8,"8634472448","Fair","Normal","High","0512609312"
10,System_Iota_8,"0487918560","Fair","Strong","Medium","0784620992"
13,Part_Nu_12,"4269890816","Fair","Weak","High","0469588352"
17,Apparatus_Gamma_2,"2505692928","Fair","Normal","Very_High","0491913280"
5,Widget_Alpha_0,"5752086528","Fair","Weak","High","0606771584"
14,Unit_Eta_6,"1329692288","Fair","Normal","Medium","0624478720"
25,Tool_Epsilon_4,"1108795136","Fair","Strong","Very_High","0692053184"
11,Element_Xi_13,"2874658816","Excellent","Weak","Low","0296668544"
19,Module_Lambda_10,"2434176000","Poor","Strong","Very_High","0661876096"
10,Part_Nu_12,"3043651584","Fair","Strong","Medium","0922038464"
15,Device_Delta_3,"6336424448","Fair","Weak","High","0304471264"
20,Element_Xi_13,"1975898496","Fair","Strong","Medium","0748452224"
13,Device_Delta_3,"2102294912","Fair","Normal","Low","0578874176"
9,System_Iota_8,"5810738176","Fair","Weak","Low","0408793536"
10,Gadget_Beta_1,"1673125376","Fair","Weak","Low","0652465472"
14,Component_Kappa_9,"7237448704","Fair","Normal","Very_High","0774031424"
17,Component_Kappa_9,"6956342272","Fair","Weak","Very_High","0413495072"
22,Tool_Epsilon_4,"1557610880","Fair","Weak","Very_High","0411205952"
7,System_Iota_8,"1152960640","Fair","Strong","Low","0891830848"
1,Tool_Epsilon_4,"1642739456","Excellent","Weak","Very_Low","0298044608"
10,Widget_Alpha_0,"7421241856","Fair","Weak","Very_High","0361598208"
15,Assembly_Omicron_14,"6006444032","Fair","Normal","Very_High","0417573504"
19,Tool_Epsilon_4,"5461664768","Fair","Strong","High","0808069440"
15,Tool_Epsilon_4,"0367022144","Fair","Strong","Medium","0679506048"
7,Gear_Mu_11,"5374177792","Fair","Normal","Medium","0678764352"
8,Widget_Alpha_0,"5849145856","Fair","Normal","Low","0803513920"
22,Tool_Epsilon_4,"5253621248","Fair","Normal","Very_High","0337043168"
21,Component_Kappa_9,"5994123776","Fair","Strong","Very_High","0661331840"
12,Gear_Mu_11,"8361200128","Fair","Normal","High","0614921088"
3,Unit_Eta_6,"0313491520","Fair","Normal","Very_Low","0883968960"
13,Item_Zeta_5,"1393671040","Excellent","Normal","Low","0595179456"
17,Assembly_Omicron_14,"3376544768","Fair","Normal","Medium","0393975616"
21,Module_Lambda_10,"7054140416","Fair","Weak","High","0187342880"
24,Element_Xi_13,"6984891392","Poor","Strong","Very_High","0720885248"
6,Device_Delta_3,"1598451712","Fair","Weak","Low","0422844480"
6,Unit_Eta_6,"1802844672","Fair","Weak","High","0452247488"
6,Device_Delta_3,"6075200000","Fair","Weak","Medium","0480164608"
12,Unit_Eta_6,"3296504576","Fair","Weak","Very_High","0429844192"
9,Machine_Pi_15,"1862905856","Fair","Normal","Low","0639660032"
8,Gear_Mu_11,"2063918080","Fair","Weak","Medium","0615333312"
7,Part_Nu_12,"3263577856","Fair","Weak","Low","0577648448"
11,Machine_Pi_15,"0746984512","Fair","Strong","Low","0809227840"
10,Element_Xi_13,"3248300032","Fair","Weak","Medium","0627937984"
14,Assembly_Omicron_14,"1825587712","Fair","Normal","High","0443572544"
11,Part_Nu_12,"1541573376","Fair","Normal","Low","0754194688"
9,Gadget_Beta_1,"2749607168","Fair","Normal","High","0662131328"
7,System_Iota_8,"4730606080","Fair","Normal","Medium","0896470016"
14,Tool_Epsilon_4,"7367806464","Fair","Normal","Medium","0394956832"
4,Item_Zeta_5,"1531744000","Fair","Normal","Low","0688998848"
24,Module_Lambda_10,"3639058944","Fair","Strong","Very_High","0889586368"
21,Tool_Epsilon_4,"5682525184","Poor","Strong","Very_High","0903199872"
11,Tool_Epsilon_4,"1581874176","Fair","Strong","Medium","0858740544"
7,Apparatus_Gamma_2,"1803777792","Fair","Normal","Low","0878150336"
8,Assembly_Omicron_14,"2455919616","Fair","Strong","High","0808189504"
15,Part_Nu_12,"0296605536","Fair","Normal","Medium","0839215488"
24,System_Iota_8,"6733177856","Fair","Normal","Very_High","0226966144"
1,Gear_Mu_11,"0647870592","Fair","Weak","Very_Low","0798894912"
17,Item_Zeta_5,"3676130816","Fair","Normal","High","0322659744"
12,Part_Nu_12,"1269370880","Fair","Weak","Medium","0511976128"
9,Item_Zeta_5,"2419890688","Fair","Strong","Low","0966134400"
8,System_Iota_8,"0465675296","Fair","Weak","Low","0640237056"
12,Apparatus_Gamma_2,"1085551616","Fair","Normal","Medium","0740411392"
16,Device_Delta_3,"5654247936","Fair","Strong","High","0731265664"
11,Part_Nu_12,"0344830464","Fair","Normal","Medium","0840623424"
24,Widget_Alpha_0,"4644528128","Fair","Normal","High","0421531488"
6,Element_Xi_13,"2531753728","Fair","Strong","Low","0775552128"
16,Machine_Pi_15,"1327056000","Poor","Strong","Medium","0887488960"
