quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number,Date
16,Device_Delta_3,"2472460288","Fair","Strong","High","0795801152","2023-09-09T01:45:58.016Z"
6,System_Iota_8,"1425244160","Fair","Strong","Low","0926063040","2023-06-08T05:34:42.688Z"
22,System_Iota_8,"8039520768","Poor","Normal","Very_High","0364631168","2023-09-16T13:00:25.472Z"
5,Piece_Theta_7,"2810922496","Fair","Normal","Medium","0564963072","2023-08-18T20:17:47.520Z"
12,Apparatus_Gamma_2,"5088943616","Excellent","Weak","Low","0338212256","2023-09-27T11:33:05.664Z"
20,Widget_Alpha_0,"1844723584","Fair","Strong","Medium","0825344704","2023-05-29T17:00:12.672Z"
10,Widget_Alpha_0,"1996478720","Fair","Weak","High","0321929216","2023-10-31T01:43:01.888Z"
13,Piece_Theta_7,"3323990528","Fair","Normal","High","0506947040","2023-10-24T07:35:18.272Z"
21,Gear_Mu_11,"2285006080","Fair","Strong","Very_High","0792086592","2023-11-03T08:17:15.264Z"
22,Unit_Eta_6,"1663602048","Poor","Strong","Medium","0627892160","2023-08-24T05:35:04.192Z"
12,Module_Lambda_10,"1627252096","Fair","Normal","Medium","0882359360","2023-08-24T07:28:39.936Z"
1,Assembly_Omicron_14,"0717063872","Fair","Normal","Low","0788194560","2023-08-25T09:39:20.704Z"
6,Device_Delta_3,"3009849856","Fair","Weak","High","0413324960","2023-10-24T09:35:27.232Z"
21,Item_Zeta_5,"3309423360","Fair","Strong","High","0744515392","2023-08-19T10:27:34.528Z"
25,Tool_Epsilon_4,"5787824640","Poor","Strong","Very_High","0749206400","2023-11-08T23:02:12.736Z"
20,Assembly_Omicron_14,"6661734400","Fair","Normal","Very_High","0418761984","2023-09-25T06:08:23.040Z"
11,Device_Delta_3,"0484205792","Fair","Normal","Low","0702747136","2023-10-05T19:34:55.232Z"
20,Item_Zeta_5,"4963722752","Fair","Strong","High","0793618944","2023-07-31T00:36:28.288Z"
7,Assembly_Omicron_14,"1554971392","Fair","Strong","Low","0880309952","2023-07-12T16:51:40.672Z"
7,Item_Zeta_5,"1661442560","Fair","Weak","Medium","0519366496","2023-09-04T09:41:58.400Z"
5,Element_Xi_13,"1810632960","Excellent","Weak","Medium","0467894848","2023-09-29T05:05:38.816Z"
4,Piece_Theta_7,"2264989440","Fair","Normal","Low","0753229824","2023-07-13T02:02:10.816Z"
20,Piece_Theta_7,"6079996928","Fair","Normal","Low","0627812608","2023-09-08T22:53:23.328Z"
9,Tool_Epsilon_4,"0980551552","Fair","Strong","Medium","0519594368","2023-10-30T16:19:25.312Z"
4,System_Iota_8,"2268026112","Fair","Normal","Low","0605929216","2023-07-28T06:16:15.104Z"
14,Item_Zeta_5,"4782400000","Fair","Weak","High","0121464488","2023-11-15T18:19:50.656Z"
13,Part_Nu_12,"4615387648","Fair","Normal","Medium","0671240896","2023-06-05T14:26:43.840Z"
7,Widget_Alpha_0,"4999795200","Fair","Weak","Medium","0260284000","2023-10-03T07:52:17.152Z"
6,Element_Xi_13,"1779476096","Fair","Normal","Low","0800159936","2023-08-10T08:41:52.896Z"
4,Widget_Alpha_0,"4106317568","Fair","Normal","Low","0600616576","2023-06-04T20:51:36.064Z"
23,Module_Lambda_10,"0777479104","Fair","Strong","Medium","0774843072","2023-09-10T17:31:28.640Z"
2,System_Iota_8,"0875064128","Excellent","Weak","Low","0202620384","2023-11-26T06:16:48.896Z"
19,Engine_Rho_16,"6720467456","Fair","Strong","High","0874231232","2023-07-26T20:29:00.288Z"
15,Unit_Eta_6,"6660657152","Fair","Strong","Medium","0790561728","2023-06-27T21:35:00.096Z"
19,Element_Xi_13,"3257858816","Fair","Strong","Medium","0875706176","2023-06-23T21:32:12.160Z"
7,Widget_Alpha_0,"1327570944","Fair","Normal","High","0756953344","2023-11-01T23:31:10.464Z"
8,Module_Lambda_10,"2646741504","Fair","Weak","Low","0703529600","2023-08-25T07:26:05.312Z"
9,Element_Xi_13,"0815219904","Fair","Normal","Medium","0694200576","2023-09-26T08:16:52.736Z"
23,Element_Xi_13,"3615174400","Fair","Weak","Very_High","0154702160","2023-11-21T02:40:19.456Z"
