quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number,Date,Age
19,Machine_Pi_15,"5225811456","Fair","Normal","High","0464271040","2023-09-11T23:31:31.968Z","25"
1,Piece_Theta_7,"0951605440","Fair","Normal","Very_Low","0770942464","2023-07-13T11:01:45.600Z","33"
11,Gear_Mu_11,"2245187072","Fair","Strong","High","0771647424","2023-08-17T00:25:25.760Z","41"
1,Tool_Epsilon_4,"0371856384","Fair","Normal","Medium","0834357376","2023-10-01T16:50:27.968Z","59"
25,Unit_Eta_6,"4801309184","Fair","Strong","Very_High","0561634944","2023-09-07T13:36:43.520Z","26"
23,Tool_Epsilon_4,"4498777600","Fair","Normal","High","0598010752","2023-09-15T12:25:51.872Z","27"
15,Piece_Theta_7,"2954930688","Fair","Normal","Low","0712403328","2023-07-25T00:23:32.096Z","32"
15,Gadget_Beta_1,"2147866880","Fair","Normal","High","0345217696","2023-11-02T09:53:45.984Z","30"
17,Unit_Eta_6,"7125325312","Poor","Strong","Very_High","0822908096","2023-09-28T14:03:26.080Z","32"
14,Widget_Alpha_0,"7036544512","Fair","Weak","Medium","0276705024","2023-10-11T13:56:08.832Z","21"
4,Apparatus_Gamma_2,"2387683584","Fair","Normal","Low","0829922112","2023-05-24T19:02:19.392Z","35"
25,Part_Nu_12,"2740672256","Fair","Strong","High","0831092544","2023-09-02T11:29:48.032Z","33"
12,Device_Delta_3,"3349317632","Fair","Normal","High","0608787392","2023-10-14T15:44:11.776Z","36"
11,Device_Delta_3,"2967929344","Fair","Weak","High","0552066560","2023-11-10T00:05:10.272Z","35"
15,Piece_Theta_7,"1052689856","Fair","Strong","Low","0880897024","2023-07-04T07:35:34.656Z","35"
25,Gadget_Beta_1,"1244375680","Fair","Strong","High","0778395904","2023-07-26T20:44:17.792Z","30"
9,Engine_Rho_16,"0773302592","Excellent","Normal","Low","0476495200","2023-10-21T21:09:07.712Z","38"
1,Element_Xi_13,"1372137984","Fair","Normal","Very_Low","0701466816","2023-07-26T21:06:08.512Z","44"
2,Unit_Eta_6,"2558817792","Fair","Weak","Low","0386865664","2023-09-03T19:16:53.888Z","29"
23,Unit_Eta_6,"3940140544","Poor","Strong","Very_High","0690385600","2023-11-12T21:55:06.368Z","42"
16,Apparatus_Gamma_2,"1521598720","Poor","Strong","High","0723676864","2023-10-11T17:41:09.248Z","55"
